nombre entree, 10,20,30,40,50,60,70,80,90,100,1000,2500,5000,7500,10000,25000,50000,75000,100000,250000,500000,750000,1000000
mesure de quicksort, 0.00148,0.00238,0.00374,0.00534,0.00856,0.0082,0.00962,0.01078,0.01262,0.01398,0.19398,0.54598,1.16592,1.8041,2.61474,6.78056,14.2698,21.2227,28.5719,75.7634,162.171,249.248,335.83
mesure de radix1, 0.01486,0.02156,0.0291,0.03574,0.0485,0.0575,0.06842,0.06828,0.0702,0.07716,0.7425,1.8033,3.60354,5.41276,7.2203,18.0394,36.0715,54.3625,72.4211,202.3,387.114,587.974,757.233
mesure de radix2, 0.00778,0.01106,0.01468,0.01828,0.02224,0.0269,0.02898,0.033,0.0363,0.03976,0.39456,0.96886,1.89634,2.8322,3.72854,9.03144,18.1893,31.5926,36.3914,90.6778,182.667,285.123,370.287
mesure de radix4, 0.00594,0.00692,0.0086,0.0107,0.01178,0.0142,0.01618,0.0178,0.01922,0.0212,0.1835,0.45756,0.90828,1.3569,1.80788,4.52584,11.5866,13.6071,18.1118,45.8594,91.9953,138.855,186.532
mesure de radix8, 0.00752,0.0076,0.00844,0.01276,0.01014,0.01102,0.012,0.0128,0.01372,0.01604,0.10098,0.23284,0.47696,0.70036,0.93286,2.28652,4.5866,6.92342,9.37152,27.8451,49.1032,72.4691,98.5785
mesure de radix16, 0.55056,0.52908,0.5429,0.63978,0.64122,0.63724,0.64906,0.64058,0.54866,0.54582,0.59042,0.75058,0.97086,1.03068,1.27098,2.41418,5.13502,5.54814,5.8701,23.6087,29.4089,46.3957,67.4564
